month,rotation_return,ibit_hold_return,ibit_night_return,trading_days
2024-01,-0.02620418264089308,-0.08749530593822918,-0.03141763276542764,13.0
2024-02,0.3530054467467929,0.4576131391364562,0.3088583951168431,20.0
2024-03,0.22890792969385498,0.14257491001751155,0.22241311016140064,20.0
2024-04,-0.1401194757007147,-0.17049669675693224,-0.09047045745260196,22.0
2024-05,0.22911013728436225,0.1483467258715565,0.2101459086953028,22.0
2024-06,0.07476071424636799,-0.1143968854653693,0.04640894662573869,19.0
2024-07,0.05878502371226335,0.08904513678606318,0.07645320495964936,22.0
2024-08,-0.07335438230962432,-0.10247448472346143,-0.08633531384042292,22.0
2024-09,0.004879694445214078,0.08270908674178301,0.018393881425439185,20.0
2024-10,0.0777983131068114,0.10102401337604117,0.0965861334470246,23.0
2024-11,0.23757490853953445,0.387883378045909,0.21646069125763745,20.0
2024-12,0.10856199586178628,-0.039123345104701945,0.1329779616038267,21.0
2025-01,-0.0727869212215021,0.08784165719943382,-0.0653036547243987,20.0
2025-02,0.09914605800232934,-0.16998783077841384,0.10248101164710288,19.0
2025-03,-0.042194052891343925,-0.02275574358800403,-0.02176383385096925,21.0
2025-04,0.1057305511397999,0.14313174004872153,0.02739529813799302,21.0
2025-05,0.0658325208223054,0.11119418705989892,0.03583815493777642,21.0
2025-06,0.05958402975215815,0.029431551075435936,0.038025252286518096,20.0
2025-07,0.09664237278389676,0.08348310221830735,0.09985330659542191,22.0
2025-08,-0.03592482591136159,-0.07358264611837961,-0.047744373323818534,21.0
2025-09,0.08755262361231986,0.057942731980196394,0.06958348440551787,21.0
2025-10,-0.0420330192427697,-0.041538473275991694,-0.018087039616273004,23.0
2025-11,-0.0729353189253088,-0.17255216904730086,-0.06678058037738888,19.0
2025-12,0.12397823599916657,-0.04054316553869797,0.12441120789195059,18.0
