Date,ibit_open,spy_open,ibit_close,spy_close,ibit_overnight_return,spy_day_return,ibit_hold_return,ibit_night_return,rotation_return,rotation_cumulative,ibit_hold_cumulative,ibit_night_cumulative
2024-01-12 00:00:00-05:00,26.399999618530273,466.31222516082903,24.969999313354492,465.1802062988281,-0.010812917814965179,-0.00242759850786772,-0.06233570783801412,-0.010812917814965179,-0.013240516322832898,0.9867594836771671,0.9376642921619859,0.9891870821850348
2024-01-16 00:00:00-05:00,24.700000762939453,463.79452868780845,24.719999313354492,463.47247314453125,-0.014967594747661704,-0.0006943927178019498,-0.010012014692619364,-0.014967594747661704,-0.015661987465463652,0.971304869012388,0.9282763834921155,0.9743813308092673
2024-01-17 00:00:00-05:00,24.350000381469727,460.43751659166446,24.40999984741211,460.89617919921875,-0.002457987149424084,0.0009961451685116475,-0.012540431818495734,-0.002457987149424084,-0.0014618419809124363,0.969884974778601,0.9166353967962129,0.9719863140194993
2024-01-18 00:00:00-05:00,24.350000381469727,462.57459961110374,23.34000015258789,464.9947509765625,0.006426718832460753,0.005231915819617932,-0.04383448183174232,0.006426718832460753,0.011658634652078684,0.9811925093540852,0.8764551591490174,0.9782329967687025
2024-01-19 00:00:00-05:00,23.489999771118164,466.12682126184484,23.799999237060547,470.79150390625,-0.02521002072919383,0.010007325113318881,0.019708615315568112,-0.02521002072919383,-0.015202695615874949,0.9662757382937985,0.8937288767220304,0.953571722642182
2024-01-22 00:00:00-05:00,23.200000762939453,472.333383502758,22.950000762939453,471.7868957519531,-0.03311547728177481,-0.001156995820943693,-0.03571422274659175,-0.03311547728177481,-0.034272473102718505,0.9331590790433149,0.8618100445437186,0.921993739924482
2024-01-23 00:00:00-05:00,22.190000534057617,472.3334326185078,22.31999969482422,473.16290283203125,0.02240143399804548,0.0017561115860993753,-0.027451026020556157,0.02240143399804548,0.024157545584144857,0.9557019120325625,0.8381524745861723,0.9426477218360113
2024-01-24 00:00:00-05:00,22.81999969482422,476.0417469073494,22.600000381469727,473.6801452636719,0.01150443471209037,-0.004960912901063647,0.012544833802593525,0.01150443471209037,0.006543521811026723,0.9619555683387876,0.8486669580810883,0.9534923510083744
2024-01-25 00:00:00-05:00,22.860000610351562,475.817252905647,22.760000228881836,476.25640869140625,0.03339192536199608,0.000922950530014323,0.007079639146523986,0.03339192536199608,0.034314875892010405,0.9949649542799615,0.8546752138998805,0.9853312964264802
2024-01-26 00:00:00-05:00,23.520000457763672,475.8270175879346,23.989999771118164,475.6513671875,0.0,-0.0003691475976396378,0.05404215860575823,0.0,-0.0003691475976396378,0.9945976653573534,0.9008637073658682,0.9853312964264802
2024-01-29 00:00:00-05:00,23.989999771118164,475.963636023537,24.670000076293945,479.418212890625,0.0068909637522580666,0.007258068906165711,0.028345156801312,0.0068909637522580666,0.014149032658423778,1.0086702602064865,0.9263988304077649,0.9921211786741205
2024-01-30 00:00:00-05:00,24.84000015258789,478.72536880060346,24.8799991607666,479.04742431640625,-0.0200964637003868,0.0006727354278501354,0.008512326056879571,-0.0200964637003868,-0.019423728272536665,0.9890781231556469,0.9342846393109077,0.9721830514205111
2024-01-31 00:00:00-05:00,24.3799991607666,476.8321663361625,24.299999237060547,471.23065185546875,-0.003703710099324987,-0.011747350275746176,-0.023311894825971735,-0.003703710099324987,-0.015451060375071162,0.9737958173591069,0.9125046940617708,0.9685823672345724
2024-02-01 00:00:00-05:00,24.209999084472656,472.93843623390336,24.540000915527344,477.398193359375,-0.006112531388863758,0.009429889355125192,0.009876612592677025,-0.006112531388863758,0.0033173579662614337,0.9770262466713353,0.9215171494140182,0.962661877112151
2024-02-02 00:00:00-05:00,24.389999389648438,477.8372942434172,24.5,482.4239196777344,0.01020408163265306,0.009598717993704103,-0.001630029096781116,0.01020408163265306,0.019802799626357163,0.9963741016638596,0.9200150496472905,0.9724849574908463
2024-02-05 00:00:00-05:00,24.75,481.7896387981956,24.190000534057617,480.6673583984375,0.011574980285868897,-0.0023293992011899196,-0.012653039426219759,0.011574980285868897,0.009245581084678977,1.005586159211467,0.9083740629513878,0.9837414517021069
2024-02-06 00:00:00-05:00,24.469999313354492,481.6139726429951,24.600000381469727,482.0628967285156,0.0024390026427632983,0.0009321242966787333,0.016949145860284842,0.0024390026427632983,0.0033711269394420314,1.0089761178027148,0.9237702274400504,0.986140799702604
2024-02-07 00:00:00-05:00,24.65999984741211,484.3171641716027,25.219999313354492,486.08349609375,0.021213317286999937,0.003647056211952552,0.025203208222378315,0.021213317286999937,0.02486037349895249,1.0340596409428133,0.9470522008318558,1.0070601173763511
