ticker,basket_weight,basket_pct
MU,2.497532082922014,8.688186813186812
WMT,2.428430404738401,8.447802197802199
AMD,1.9545903257650543,6.799450549450549
ASML,1.618953603158934,5.631868131868132
INTC,1.2734452122408688,4.429945054945055
CSCO,1.2339585389930898,4.292582417582418
COST,1.1056268509378087,3.846153846153847
LRCX,0.9772951628825272,3.3997252747252746
ARM,0.9378084896347483,3.2623626373626378
AMAT,0.9180651530108589,3.1936813186813193
NFLX,0.8884501480750246,3.0906593406593403
PLTR,0.8292201382033564,2.8846153846153846
TXN,0.6614017769002962,2.300824175824176
KLAC,0.6416584402764067,2.232142857142857
LIN,0.6021717670286278,2.09478021978022
SNDK,0.5923000987166831,2.0604395604395602
MRVL,0.5923000987166831,2.0604395604395602
QCOM,0.5824284304047384,2.026098901098901
PANW,0.5626850937808489,1.9574175824175821
ADI,0.5034550839091807,1.7513736263736264
PEP,0.4935834155972359,1.717032967032967
TMUS,0.4935834155972359,1.717032967032967
STX,0.4935834155972359,1.717032967032967
AMGN,0.48371174728529126,1.682692307692308
APP,0.48371174728529126,1.682692307692308
WDC,0.45409674234945707,1.5796703296703296
CRWD,0.43435340572556763,1.510989010989011
GILD,0.4146100691016782,1.4423076923076923
ISRG,0.38499506416584406,1.3392857142857144
SHOP,0.36525172754195456,1.2706043956043955
HON,0.3455083909180652,1.201923076923077
BKNG,0.32576505429417574,1.1332417582417584
PDD,0.3060217176702863,1.0645604395604396
VRTX,0.28627838104639686,0.995879120879121
SBUX,0.27640671273445216,0.9615384615384618
FTNT,0.27640671273445216,0.9615384615384618
CDNS,0.2665350444225074,0.9271978021978022
MAR,0.2665350444225074,0.9271978021978022
ADBE,0.25666337611056267,0.8928571428571428
ADP,0.23692003948667323,0.824175824175824
