ticker,basket,basket_weight
SPACEX,1,8.519249753208292
NVDA,1,12.734452122408687
AAPL,1,11.569595261599211
MSFT,2,7.936821322803553
AMZN,2,6.781836130306022
GOOGL,2,5.913129318854886
GOOG,2,5.498519249753208
AVGO,2,4.679170779861797
META,2,3.8598223099703852
TSLA,2,3.761105626850938
MU,3,2.497532082922014
WMT,3,2.428430404738401
AMD,3,1.9545903257650543
ASML,3,1.618953603158934
INTC,3,1.2734452122408688
CSCO,3,1.2339585389930898
COST,3,1.1056268509378087
LRCX,3,0.9772951628825272
ARM,3,0.9378084896347483
AMAT,3,0.9180651530108589
NFLX,3,0.8884501480750246
PLTR,3,0.8292201382033564
TXN,3,0.6614017769002962
KLAC,3,0.6416584402764067
LIN,3,0.6021717670286278
SNDK,3,0.5923000987166831
MRVL,3,0.5923000987166831
QCOM,3,0.5824284304047384
PANW,3,0.5626850937808489
ADI,3,0.5034550839091807
PEP,3,0.4935834155972359
TMUS,3,0.4935834155972359
STX,3,0.4935834155972359
AMGN,3,0.48371174728529126
APP,3,0.48371174728529126
WDC,3,0.45409674234945707
CRWD,3,0.43435340572556763
GILD,3,0.4146100691016782
ISRG,3,0.38499506416584406
SHOP,3,0.36525172754195456
HON,3,0.3455083909180652
BKNG,3,0.32576505429417574
PDD,3,0.3060217176702863
VRTX,3,0.28627838104639686
SBUX,3,0.27640671273445216
FTNT,3,0.27640671273445216
CDNS,3,0.2665350444225074
MAR,3,0.2665350444225074
ADBE,3,0.25666337611056267
ADP,3,0.23692003948667323
