Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,peg_distance,daily_return,dow,week_of_month,btc_close,btc_return
2025-07-30 00:00:00-04:00,93.73999786376953,95.0,93.30000305175781,94.5,3074400,0.0,0.0,-5.5,,2,5,117831.1875,
2025-07-31 00:00:00-04:00,95.0,95.98999786376953,94.0,94.4800033569336,1964100,0.0,0.0,-5.519996643066406,-0.00021160468853342884,3,5,115758.203125,-0.017592832754910526
2025-08-01 00:00:00-04:00,94.68000030517578,95.25,93.55000305175781,94.13999938964844,2693000,0.0,0.0,-5.8600006103515625,-0.003598687078795515,4,1,113320.0859375,-0.021062154747402473
2025-08-04 00:00:00-04:00,95.9000015258789,96.38999938964844,95.1500015258789,96.38999938964844,1445300,0.0,0.0,-3.6100006103515625,0.023900573768724787,0,1,115071.8828125,0.015458838214843729
2025-08-05 00:00:00-04:00,96.75,97.18000030517578,96.01000213623047,96.5,1410000,0.0,0.0,-3.5,0.0011412035589593028,1,1,114141.4453125,-0.008085706753543476
2025-08-06 00:00:00-04:00,96.98999786376953,97.30000305175781,96.8499984741211,97.0,1348800,0.0,0.0,-3.0,0.005181347150259086,2,1,115028.0,0.007767158415357134
2025-08-07 00:00:00-04:00,97.55000305175781,97.75,97.30000305175781,97.58999633789062,1291000,0.0,0.0,-2.410003662109375,0.00608243647309914,3,1,117496.8984375,0.021463456180234486
2025-08-08 00:00:00-04:00,97.80000305175781,97.88999938964844,97.4000015258789,97.5,826000,0.0,0.0,-2.5,-0.0009221881470209414,4,2,116688.7265625,-0.0068782400705657
2025-08-11 00:00:00-04:00,98.25,98.33000183105469,97.86499786376953,98.05000305175781,1357500,0.0,0.0,-1.9499969482421875,0.0056410569411058376,0,2,118731.4453125,0.017505707793510794
2025-08-12 00:00:00-04:00,98.48999786376953,98.48999786376953,97.27999877929688,97.79000091552734,818400,0.0,0.0,-2.2099990844726562,-0.0026517300167060442,1,2,120172.90625,0.012140515376580119
2025-08-13 00:00:00-04:00,98.16000366210938,98.19999694824219,97.6500015258789,97.9000015258789,759100,0.0,0.0,-2.0999984741210938,0.0011248656234963406,2,2,123344.0625,0.026388279596092357
2025-08-14 00:00:00-04:00,97.9800033569336,98.19000244140625,97.5999984741211,98.01000213623047,822000,0.0,0.0,-1.9899978637695312,0.0011236017225442207,3,2,118359.578125,-0.040411222672351976
2025-08-15 00:00:00-04:00,97.77999877929688,97.9000015258789,96.37999725341797,96.94999694824219,650800,0.8,0.0,-3.0500030517578125,-0.010815275633959343,4,3,117398.3515625,-0.008121240187970669
2025-08-18 00:00:00-04:00,97.19999694824219,97.2300033569336,95.43000030517578,96.25,715300,0.0,0.0,-3.75,-0.007220185356126341,0,3,116252.3125,-0.009761968948004185
2025-08-19 00:00:00-04:00,96.25,96.25,92.19999694824219,93.5999984741211,1311600,0.0,0.0,-6.400001525878906,-0.02753248338575487,1,3,112831.1796875,-0.029428514056440758
2025-08-20 00:00:00-04:00,94.0,94.48699951171875,92.52999877929688,93.98999786376953,821900,0.0,0.0,-6.010002136230469,0.004166660213742013,2,3,114274.7421875,0.012794003430595335
2025-08-21 00:00:00-04:00,94.0999984741211,94.52999877929688,93.5999984741211,94.44000244140625,419900,0.0,0.0,-5.55999755859375,0.0047877921892174324,3,3,112419.03125,-0.01623902974513114
2025-08-22 00:00:00-04:00,94.83999633789062,95.80000305175781,94.12000274658203,95.05000305175781,722500,0.0,0.0,-4.9499969482421875,0.006459133784224802,4,4,116874.0859375,0.03962900798880531
2025-08-25 00:00:00-04:00,95.0,95.25,94.5,95.0999984741211,566000,0.0,0.0,-4.900001525878906,0.0005259907496906191,0,4,110124.3515625,-0.05775218963945106
2025-08-26 00:00:00-04:00,95.11000061035156,95.80000305175781,94.91999816894531,95.66000366210938,355500,0.0,0.0,-4.339996337890625,0.005888593028113176,1,4,111802.65625,0.015240086898922645
2025-08-27 00:00:00-04:00,95.87999725341797,96.94999694824219,95.66000366210938,96.5199966430664,506800,0.0,0.0,-3.4800033569335938,0.00899009981219212,2,4,111222.0625,-0.005193022862549412
2025-08-28 00:00:00-04:00,96.91999816894531,97.62000274658203,96.69999694824219,97.41000366210938,579900,0.0,0.0,-2.589996337890625,0.009220959904653103,3,4,112544.8046875,0.01189280397942638
2025-08-29 00:00:00-04:00,97.38999938964844,97.9000015258789,97.23999786376953,97.75,3887600,0.0,0.0,-2.25,0.0034903636701419938,4,5,108410.8359375,-0.036731759955323295
2025-09-02 00:00:00-04:00,97.5,98.0999984741211,97.19999694824219,97.4800033569336,688400,0.0,0.0,-2.5199966430664062,-0.0027621139955642526,1,1,111200.5859375,0.025733128758534063
2025-09-03 00:00:00-04:00,98.43000030517578,98.43000030517578,97.55000305175781,97.66999816894531,606000,0.0,0.0,-2.3300018310546875,0.001949064479573659,2,1,111723.2109375,0.004699840343410866
2025-09-04 00:00:00-04:00,97.88999938964844,97.93900299072266,97.33999633789062,97.45999908447266,631000,0.0,0.0,-2.5400009155273438,-0.0021500879329331424,3,1,110723.6015625,-0.008947195185422974
2025-09-05 00:00:00-04:00,97.7699966430664,97.97000122070312,97.50199890136719,97.5999984741211,410100,0.0,0.0,-2.4000015258789062,0.0014364805147093485,4,1,110650.984375,-0.0006558419928113235
2025-09-08 00:00:00-04:00,97.80000305175781,97.9000015258789,97.44999694824219,97.55999755859375,375000,0.0,0.0,-2.44000244140625,-0.0004098454523844275,0,2,112071.4296875,0.012837168331788718
2025-09-09 00:00:00-04:00,97.51000213623047,97.69000244140625,97.19000244140625,97.33000183105469,318300,0.0,0.0,-2.6699981689453125,-0.0023574798410683773,1,2,111530.546875,-0.004826232823193166
2025-09-10 00:00:00-04:00,97.54000091552734,97.6500015258789,97.30000305175781,97.4000015258789,313500,0.0,0.0,-2.5999984741210938,0.0007191995634163728,2,2,113955.359375,0.02174124101370767
2025-09-11 00:00:00-04:00,97.5,97.54000091552734,97.25,97.37000274658203,308600,0.0,0.0,-2.6299972534179688,-0.0003079956758409441,3,2,115507.5390625,0.013620945043858246
2025-09-12 00:00:00-04:00,97.62999725341797,97.79000091552734,97.13400268554688,97.25,472300,0.0,0.0,-2.75,-0.0012324406202838256,4,2,116101.578125,0.005142859655061782
2025-09-15 00:00:00-04:00,96.80000305175781,97.21600341796875,96.61000061035156,96.9000015258789,333500,0.833,0.0,-3.0999984741210938,-0.003598956032093481,0,3,115444.875,-0.005656280781067169
2025-09-16 00:00:00-04:00,97.08000183105469,97.5,96.62000274658203,96.94999694824219,281500,0.0,0.0,-3.0500030517578125,0.0005159486230754684,1,3,116843.1875,0.012112382641498831
2025-09-17 00:00:00-04:00,96.9000015258789,97.33999633789062,96.87999725341797,97.26000213623047,249800,0.0,0.0,-2.7399978637695312,0.0031975781098145806,2,3,116468.5078125,-0.0032066883445814875
2025-09-18 00:00:00-04:00,97.48999786376953,98.0999984741211,97.0999984741211,97.5,328300,0.0,0.0,-2.5,0.002467590566504141,3,3,117137.203125,0.005741425944741474
2025-09-19 00:00:00-04:00,97.63999938964844,97.73999786376953,97.4000015258789,97.69999694824219,283300,0.0,0.0,-2.3000030517578125,0.0020512507512018274,4,3,115688.859375,-0.012364506846338497
2025-09-22 00:00:00-04:00,97.75,97.75,97.51000213623047,97.55000305175781,231900,0.0,0.0,-2.4499969482421875,-0.0015352497560858769,0,4,112748.5078125,-0.025416030362690245
