trade_number,date,ibit_buy_price,ibit_sell_price,ibit_overnight_return,spy_open,spy_close,spy_day_return,spy_traded,combined_return,portfolio_value_before,portfolio_value_after
1,2024-01-12 05:00:00,24.969999313354492,24.700000762939453,-0.0110107354496388,467.69014294589425,466.5547790527344,-0.0024675985078676838,True,-0.013478333957506484,10000.0,9865.216660424934
2,2024-01-16 05:00:00,24.719999313354492,24.350000381469727,-0.0151645815300338,465.1649260825611,464.8419189453125,-0.0007343927178019733,True,-0.015898974247835772,9865.216660424934,9708.369834791518
3,2024-01-17 05:00:00,24.40999984741211,24.350000381469727,-0.0026574756031488,461.79800826828216,462.2580261230469,0.0009561451685115686,True,-0.0017013304346372312,9708.369834791518,9691.852689720872
4,2024-01-18 05:00:00,23.34000015258789,23.489999771118164,0.006225453615216,463.94147168895626,466.3687744140625,0.005191915819617866,True,0.011417369434833867,9691.852689720872,9802.508152387403
5,2024-01-19 05:00:00,23.799999237060547,23.200000762939453,-0.0254049592311977,467.5042115854746,472.18267822265625,0.009967325113318867,True,-0.015437634117878834,9802.508152387403,9651.180618093322
6,2024-01-22 05:00:00,22.950000762939453,22.190000534057617,-0.0333088348505616,473.7291023475349,473.1809997558594,-0.001196995820943686,True,-0.03450583067150529,9651.180618093322,9318.15861390528
7,2024-01-23 05:00:00,22.31999969482422,22.81999969482422,0.02219697415723,473.7291139705338,474.56103515625,0.0017161115860993331,True,0.023913085743329333,9318.15861390528,9540.98453980954
8,2024-01-24 05:00:00,22.600000381469727,22.86000061035156,0.0113021540532137,477.4483526414292,475.07977294921875,-0.005000912901063664,True,0.0063012411521500365,9540.98453980954,9601.104584223816
9,2024-01-25 05:00:00,22.760000228881836,23.520000457763672,0.0331852676426955,477.22327333358226,477.6637268066406,0.0008829505300142586,True,0.03406821817270976,9601.104584223816,9928.197109898156
10,2024-01-26 05:00:00,23.989999771118164,23.989999771118164,-0.0001999800019997,477.23305420109756,477.056884765625,-0.00040914759763963136,True,-0.0006091275996393314,9928.197109898156,9922.149571023856
11,2024-01-29 05:00:00,24.670000076293945,24.84000015258789,0.0066896056953134,477.3700844183153,480.8348693847656,0.007218068906165844,True,0.013907674601479243,9922.149571023856,10060.143598604862
12,2024-01-30 05:00:00,24.8799991607666,24.3799991607666,-0.0202924248115355,480.13997500622065,480.4629821777344,0.0006327354278500513,True,-0.019659689383685446,10060.143598604862,9862.364300301018
13,2024-01-31 05:00:00,24.299999237060547,24.209999084472656,-0.0039029494333716,478.24120538367146,472.6231384277344,-0.011787350275746228,True,-0.015690299709117828,9862.364300301018,9707.620848588791
14,2024-02-01 05:00:00,24.540000915527344,24.38999938964844,-0.0063112890068242,474.3359632749418,478.80889892578125,0.00938988935512529,True,0.00307860034830109,9707.620848588791,9737.50673351443
15,2024-02-02 05:00:00,24.5,24.75,0.0100020610183879,479.2492781177707,483.8494567871094,0.00955871799370395,True,0.01956077901209185,9737.50673351443,9927.979950857462
16,2024-02-05 05:00:00,24.190000534057617,24.469999313354492,0.0113726855192884,483.2132736155175,482.0876770019531,-0.0023693992011899535,True,0.009003286318098446,9927.979950857462,10017.364396915373
17,2024-02-06 05:00:00,24.600000381469727,24.65999984741211,0.0022385348890102,483.0370846023235,483.4873352050781,0.0008921242966786286,True,0.0031306591856888285,10017.364396915373,10048.725350780967
18,2024-02-07 05:00:00,25.219999313354492,25.7549991607666,0.0210090950457666,485.74822431170406,487.519775390625,0.003607056211952581,True,0.024616151257719182,10048.725350780967,10296.08629396307
19,2024-02-08 05:00:00,26.030000686645508,26.850000381469727,0.0312958205995046,487.5198097885674,487.7351379394531,0.00040168082314260157,True,0.031697501422647205,10296.08629396307,10622.446503913663
20,2024-02-09 05:00:00,27.149999618530273,27.530000686645508,0.0137935773033036,488.24412937245694,490.55401611328125,0.004691007710821269,True,0.01848458501412487,10622.446503913663,10818.79801937325
21,2024-02-12 05:00:00,28.65999984741211,27.969999313354492,-0.0242705505331342,490.5246201484485,490.3386535644531,-0.0004191177371261954,True,-0.024689668270260395,10818.79801937325,10551.685485191972
22,2024-02-13 05:00:00,28.219999313354492,29.579999923706055,0.047983176288274,484.0256585499092,483.585205078125,-0.0009499795930318589,True,0.04703319669524214,10551.685485191972,11047.964984083339
23,2024-02-14 05:00:00,29.549999237060547,29.9950008392334,0.0148562847099655,486.23766865675526,487.9798583984375,0.003543000359669964,True,0.018399285069635465,11047.964984083339,11251.23964126484
24,2024-02-15 05:00:00,29.520000457763672,29.857999801635746,0.0112475723530927,488.6845761555904,491.3468017578125,0.005407738136459021,True,0.01665531048955172,11251.23964126484,11438.632530882458
25,2024-02-16 05:00:00,29.6200008392334,29.8799991607666,0.0085760605011466,491.0433562248227,488.8998718261719,-0.004405163221288776,True,0.004170897279857824,11438.632530882458,11486.341892190809
26,2024-02-20 05:00:00,29.670000076293945,29.05500030517578,-0.0209238351378812,487.14788265466376,486.2082824707031,-0.0019687781337370865,True,-0.02289261327161829,11486.341892190809,11223.389509347297
27,2024-02-21 05:00:00,29.079999923706055,29.170000076293945,0.0028943169234909,484.89675520486617,486.6487121582031,0.0035730515094842524,True,0.0064673684329751525,11223.389509347297,11295.975304371035
28,2024-02-22 05:00:00,29.719999313354492,29.260000228881836,-0.0156746470437371,493.30429472286124,496.72015380859375,0.006884446274386358,True,-0.008790200769350743,11295.975304371035,11196.681413559985
29,2024-02-23 05:00:00,29.15999984741211,29.34000015258789,0.0059716355554799,498.45253453500476,497.0627136230469,-0.0028282713310995933,True,0.003143364224380307,11196.681413559985,11231.876661347154
30,2024-02-26 05:00:00,31.1200008392334,32.529998779296875,0.0450993750961966,497.50311808383964,495.2421875,-0.004584555605093965,True,0.04051481949110264,11231.876661347154,11686.934116827964
31,2024-02-27 05:00:00,32.59000015258789,34.40999984741211,0.0556341937556556,495.9371970269557,496.16229248046875,0.000413878948508935,True,0.05604807270416454,11686.934116827964,12341.964249896719
32,2024-02-28 05:00:00,34.45000076293945,36.20500183105469,0.0507332584345501,494.5962317481148,495.5065002441406,0.00180042747921581,True,0.052533685913765914,12341.964249896719,12990.33312335972
33,2024-02-29 05:00:00,35.41999816894531,35.650001525878906,0.0062923230118222,497.27807451838515,497.287841796875,-2.0358517718067493e-05,True,0.006271964494104132,12990.33312335972,13071.808031476015
34,2024-03-01 05:00:00,35.9900016784668,37.41999816894531,0.0395252340324552,498.16874989642076,501.9565124511719,0.007563372462722045,True,0.047088606495177245,13071.808031476015,13687.341256050686
35,2024-03-04 05:00:00,38.650001525878906,38.665000915527344,0.0001880249004171,501.15398858867036,501.418212890625,0.00048723176502842795,True,0.000675256665445528,13687.341256050686,13696.583724466062
36,2024-03-05 05:00:00,35.31999969482422,38.15999984741211,0.0801916460989422,499.40192116874573,496.40692138671875,-0.006037173128645179,True,0.07415447297029701,13696.583724466062,14712.24667204739
37,2024-03-06 05:00:00,38.290000915527344,38.5,0.0052833598735598,499.7052973445474,498.92230224609375,-0.0016069137441898067,True,0.003676446129369993,14712.24667204739,14766.335454379174
38,2024-03-07 05:00:00,38.630001068115234,38.935001373291016,0.0076938668212621,502.24036725780826,503.8748779296875,0.0032144390663051176,True,0.010908305887567218,14766.335454379174,14927.41115835397
39,2024-03-08 05:00:00,39.54999923706055,41.310001373291016,0.0442918077336332,504.51107290066597,500.8504943847656,-0.007295695092783579,True,0.03699611264084962,14927.41115835397,15479.667343004709
