trade_number,date,ibit_buy_price,ibit_sell_price,ibit_overnight_return,strc_open_price,strc_close_price,strc_price_return,strc_dividend_return,strc_total_return,combined_return,portfolio_value_before,portfolio_value_after
39,2025-09-23 04:00:00,63.40999984741211,64.19999694824219,0.0122560855887417,95.79969350043744,95.7014389038086,-0.0010256253756010163,0.0002945205479452055,-0.0008311048276558109,0.011424980761085888,28471.425774195206,28796.71126590607
40,2025-09-24 04:00:00,64.41999816894531,63.380001068115234,-0.0163407616189266,96.04533047798353,95.79969024658203,-0.002557544757033277,0.0002945205479452055,-0.002363024209088071,-0.01870378582801467,28796.71126590607,28258.103745837383
41,2025-09-25 04:00:00,62.099998474121094,62.0099983215332,-0.0016489680304728,95.78986443148608,95.22980499267578,-0.005846750510967503,0.0002945205479452055,-0.005652229963022298,-0.007301197993495098,28258.103745837383,28051.7857354683
42,2025-09-26 04:00:00,61.939998626708984,63.720001220703125,0.0285318034744118,95.3575493231207,95.30841827392578,-0.0005152297803756551,0.0002945205479452055,-0.00032070923243044964,0.02821109424198135,28051.7857354683,28843.157306507463
43,2025-09-29 04:00:00,64.97000122070312,64.4000015258789,-0.0089715006357797,95.61300439695128,95.3575439453125,-0.00267181701119025,0.0002945205479452055,-0.0024772964632450442,-0.011448797099024743,28843.157306507463,28512.93785081001
44,2025-09-30 04:00:00,65.0,66.30000305175781,0.0197960673386913,95.50492854914253,95.36737060546875,-0.0014403229839913716,0.0002945205479452055,-0.0012458024360461663,0.018550264902645136,28512.93785081001,29041.860401095193
45,2025-10-01 04:00:00,66.73999786376953,67.76000213623047,0.0150802166513792,96.17306206668154,96.27132415771484,0.0010217215602969514,0.0002945205479452055,0.0012162421082421567,0.016296458759621355,29041.860401095193,29515.13988142432
46,2025-10-02 04:00:00,68.7699966430664,68.6050033569336,-0.0025987047195725,97.40127019450962,97.24406433105469,-0.0016140021905360642,0.0002945205479452055,-0.0014194816425908588,-0.004018186362163358,29515.13988142432,29396.542548875437
47,2025-10-03 04:00:00,69.80999755859375,71.01000213623047,0.016986162995812,97.5191769262757,97.2735366821289,-0.0025188916876575174,0.0002945205479452055,-0.0023243711397123116,0.01466179185609969,29396.542548875437,29827.548537016024
48,2025-10-06 04:00:00,71.29000091552734,70.97000122070312,-0.0046877861063047,97.63708593772427,97.4209213256836,-0.0022139600948203994,0.0002945205479452055,-0.002019439546875194,-0.006707225653179894,29827.548537016024,29627.48843829708
49,2025-10-07 04:00:00,69.12999725341797,69.58000183105469,0.0063082595986917,97.56830999023306,96.97876739501953,-0.0060423573522237406,0.0002945205479452055,-0.005847836804278536,0.000460422794413164,29627.48843829708,29641.129609315285
50,2025-10-08 04:00:00,70.05999755859375,70.1500015258789,0.0010844329501466,97.27353994103689,97.17528533935547,-0.0010100855971827086,0.0002945205479452055,-0.0008155650492375033,0.0002688679009090968,29641.129609315285,29649.099157613917
51,2025-10-09 04:00:00,68.73999786376953,69.31999969482422,0.0082359504651,97.4700424919683,97.02789306640625,-0.004536259698445131,0.0002945205479452055,-0.004341739150499926,0.003894211314600075,29649.099157613917,29764.559015021197
52,2025-10-10 04:00:00,66.19999694824219,64.95999908447266,-0.0189273205782167,97.32266971914618,96.90998840332031,-0.00424034109439024,0.0002945205479452055,-0.004045820546445035,-0.022973141124661735,29764.559015021197,29080.77360025579
53,2025-10-13 04:00:00,65.80999755859375,62.90999984741211,-0.0442573858247559,97.4110989745624,97.30301666259766,-0.001109548225022846,0.0002945205479452055,-0.0009150276770776406,-0.04517241350183354,29080.77360025579,27767.12487023183
54,2025-10-14 04:00:00,63.90999984741211,63.290000915527344,-0.0098991655125162,97.31283889987557,97.0770263671875,-0.00242324173617726,0.0002945205479452055,-0.002228721188232054,-0.012127886700748254,27767.12487023183,27430.36832580013
55,2025-10-15 04:00:00,63.16999816894531,63.095001220703125,-0.001386966744532,97.47743900021005,97.50717163085938,0.0003050206381525508,0.0002945205479452055,0.0004995411860977562,-0.0008874255584342438,27430.36832580013,27406.02591587055
