trade_number,date,ibit_buy_price,ibit_sell_price,ibit_overnight_return,spy_open,spy_close,spy_day_return,spy_traded,combined_return,portfolio_value_before,portfolio_value_after
1,2024-01-12 05:00:00,24.969999313354492,24.700000762939453,-0.0110107354496388,467.6901735377371,466.5548095703125,-0.002467598507867729,True,-0.01347833395750653,10000.0,9865.216660424934
2,2024-01-16 05:00:00,24.719999313354492,24.350000381469727,-0.0151645815300338,465.1649566213452,464.8419494628906,-0.0007343927178020586,True,-0.01589897424783586,9865.216660424934,9708.369834791518
3,2024-01-17 05:00:00,24.40999984741211,24.350000381469727,-0.0026574756031488,461.79803875549055,462.258056640625,0.0009561451685116726,True,-0.001701330434637127,9708.369834791518,9691.852689720874
4,2024-01-18 05:00:00,23.34000015258789,23.489999771118164,0.006225453615216,463.9415627651874,466.3688659667969,0.005191915819617927,True,0.011417369434833928,9691.852689720874,9802.508152387405
5,2024-01-19 05:00:00,23.799999237060547,23.200000762939453,-0.0254049592311977,467.50418137026986,472.1826477050781,0.00996732511331883,True,-0.01543763411787887,9802.508152387405,9651.180618093324
6,2024-01-22 05:00:00,22.950000762939453,22.190000534057617,-0.0333088348505616,473.7291329004626,473.1810302734375,-0.0011969958209436969,True,-0.0345058306715053,9651.180618093324,9318.158613905282
7,2024-01-23 05:00:00,22.31999969482422,22.81999969482422,0.02219697415723,473.7291139705338,474.56103515625,0.0017161115860993331,True,0.023913085743329333,9318.158613905282,9540.984539809542
8,2024-01-24 05:00:00,22.600000381469727,22.86000061035156,0.0113021540532137,477.44838331115716,475.0798034667969,-0.005000912901063611,True,0.00630124115215009,9540.984539809542,9601.104584223818
9,2024-01-25 05:00:00,22.760000228881836,23.520000457763672,0.0331852676426955,477.22327333358226,477.6637268066406,0.0008829505300142586,True,0.03406821817270976,9601.104584223818,9928.197109898158
10,2024-01-26 05:00:00,23.989999771118164,23.989999771118164,-0.0001999800019997,477.23305420109756,477.056884765625,-0.00040914759763963136,True,-0.0006091275996393314,9928.197109898158,9922.149571023858
11,2024-01-29 05:00:00,24.670000076293945,24.84000015258789,0.0066896056953134,477.37011471599084,480.83489990234375,0.007218068906165755,True,0.013907674601479155,9922.149571023858,10060.143598604864
12,2024-01-30 05:00:00,24.8799991607666,24.3799991607666,-0.0202924248115355,480.1400055032823,480.4630126953125,0.0006327354278501375,True,-0.019659689383685362,10060.143598604864,9862.364300301022
13,2024-01-31 05:00:00,24.299999237060547,24.209999084472656,-0.0039029494333716,478.24117450333114,472.62310791015625,-0.011787350275746188,True,-0.01569029970911779,9862.364300301022,9707.620848588795
14,2024-02-01 05:00:00,24.540000915527344,24.38999938964844,-0.0063112890068242,474.3359632749418,478.80889892578125,0.00938988935512529,True,0.00307860034830109,9707.620848588795,9737.506733514434
15,2024-02-02 05:00:00,24.5,24.75,0.0100020610183879,479.24933857263767,483.8495178222656,0.00955871799370408,True,0.01956077901209198,9737.506733514434,9927.979950857467
16,2024-02-05 05:00:00,24.190000534057617,24.469999313354492,0.0113726855192884,483.2132736155175,482.0876770019531,-0.0023693992011899535,True,0.009003286318098446,9927.979950857467,10017.364396915378
17,2024-02-06 05:00:00,24.600000381469727,24.65999984741211,0.0022385348890102,483.0371150914819,483.48736572265625,0.0008921242966787003,True,0.0031306591856889,10017.364396915378,10048.725350780975
