month,night_return,day_return,hold_return,trading_days
2024-01,-0.03141763276542764,-0.05320862309767116,-0.08749530593822918,13.0
2024-02,0.3088583951168431,0.12505075856293213,0.4576131391364562,20.0
2024-03,0.22241311016140064,-0.08235675797341269,0.14257491001751155,20.0
2024-04,-0.09047045745260196,-0.09765972865776107,-0.17049669675693224,22.0
2024-05,0.2101459086953028,0.0015864854772604797,0.1483467258715565,22.0
2024-06,0.04640894662573869,-0.13948317094248186,-0.1143968854653693,19.0
2024-07,0.07645320495964936,-0.04560737054908792,0.08904513678606318,22.0
2024-08,-0.08633531384042292,0.0005097613996078998,-0.10247448472346143,22.0
2024-09,0.018393881425439185,0.05286909509782167,0.08270908674178301,20.0
2024-10,0.0965861334470246,0.009383097483145919,0.10102401337604117,23.0
2024-11,0.21646069125763745,0.12545109990429326,0.387883378045909,20.0
2024-12,0.1329779616038267,-0.11357559457738486,-0.039123345104701945,21.0
2025-01,-0.0653036547243987,0.05183856590273095,0.08784165719943382,20.0
2025-02,0.10248101164710288,-0.10976136754533128,-0.16998783077841384,19.0
2025-03,-0.02176383385096925,-0.08273651494369882,-0.02275574358800403,21.0
2025-04,0.02739529813799302,0.1261036235761992,0.14313174004872153,21.0
2025-05,0.03583815493777642,0.037030027113579056,0.11119418705989892,21.0
2025-06,0.038025252286518096,-0.012005800897359364,0.029431551075435936,20.0
2025-07,0.09985330659542191,-0.014694984268537659,0.08348310221830735,22.0
2025-08,-0.047744373323818534,-0.006087842461433679,-0.07358264611837961,21.0
2025-09,0.06958348440551787,-0.002385921955149084,0.057942731980196394,21.0
2025-10,-0.018087039616273004,-0.06276160746159876,-0.041538473275991694,23.0
2025-11,-0.06678058037738888,-0.14050456576136905,-0.17255216904730086,19.0
2025-12,0.10669082218824322,-0.0827423792165165,-0.028322000117956048,16.0
