,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Avg Gain,Avg Loss,Trading Days
night,262.25%,91.56%,38.48%,2.25,-20.39%,55.11%,1.8307%,-1.6128%,499
day,-46.31%,-26.96%,33.14%,-0.96,-52.39%,47.90%,1.5156%,-1.6153%,499
hold,93.47%,39.55%,50.14%,0.69,-32.73%,48.90%,2.6875%,-2.2331%,499
