Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,night_return,day_return,hold_return,night_cumulative,day_cumulative,hold_cumulative
2024-01-12 00:00:00-05:00,26.399999618530273,26.40999984741211,24.75,24.969999313354492,22991900,0.0,0.0,0.0,-0.010812917814965179,-0.05416667900904278,-0.06233570783801412,0.9891870821850348,0.9458333209909572,0.9376642921619859
2024-01-16 00:00:00-05:00,24.700000762939453,24.86199951171875,24.040000915527344,24.719999313354492,15078200,0.0,0.0,0.0,-0.014967594747661704,0.0008096578865311384,-0.010012014692619364,0.9743813308092673,0.9465991223986414,0.9282763834921155
2024-01-17 00:00:00-05:00,24.350000381469727,24.559999465942383,24.149999618530273,24.40999984741211,13964500,0.0,0.0,0.0,-0.002457987149424084,0.0024640437372659024,-0.012540431818495734,0.9719863140194993,0.9489315840378891,0.9166353967962129
2024-01-18 00:00:00-05:00,24.350000381469727,24.469999313354492,23.200000762939453,23.34000015258789,17823200,0.0,0.0,0.0,0.006426718832460753,-0.04147844817491021,-0.04383448183174232,0.9782329967687025,0.9095713745078381,0.8764551591490174
2024-01-19 00:00:00-05:00,23.489999771118164,24.1200008392334,23.030000686645508,23.799999237060547,18284100,0.0,0.0,0.0,-0.02521002072919383,0.013197082544187113,0.019708615315568112,0.953571722642182,0.9215750630170478,0.8937288767220304
2024-01-22 00:00:00-05:00,23.200000762939453,23.329999923706055,22.5,22.950000762939453,17222100,0.0,0.0,0.0,-0.03311547728177481,-0.010775861714597842,-0.03571422274659175,0.921993739924482,0.9116442975783543,0.8618100445437186
2024-01-23 00:00:00-05:00,22.190000534057617,22.6299991607666,22.020000457763672,22.31999969482422,13431700,0.0,0.0,0.0,0.02240143399804548,0.005858456856144572,-0.027451026020556157,0.9426477218360113,0.9169851263638673,0.8381524745861723
2024-01-24 00:00:00-05:00,22.81999969482422,22.969999313354492,22.56999969482422,22.600000381469727,11929100,0.0,0.0,0.0,0.01150443471209037,-0.009640636121673131,0.012544833802593525,0.9534923510083744,0.9081448064316069,0.8486669580810883
2024-01-25 00:00:00-05:00,22.860000610351562,22.899999618530273,22.579999923706055,22.760000228881836,8954900,0.0,0.0,0.0,0.03339192536199608,-0.004374469763769121,0.007079639146523986,0.9853312964264802,0.9041721544347479,0.8546752138998805
2024-01-26 00:00:00-05:00,23.520000457763672,24.1200008392334,23.479999542236328,23.989999771118164,20273800,0.0,0.0,0.0,0.0,0.019982963614243936,0.05404215860575823,0.9853312964264802,0.92224019369783,0.9008637073658682
2024-01-29 00:00:00-05:00,23.989999771118164,24.770000457763672,23.8799991607666,24.670000076293945,19012900,0.0,0.0,0.0,0.0068909637522580666,0.028345156801311912,0.028345156801312,0.9921211786741205,0.9483812365966673,0.9263988304077649
2024-01-30 00:00:00-05:00,24.84000015258789,24.979999542236328,24.684999465942383,24.8799991607666,15541300,0.0,0.0,0.0,-0.0200964637003868,0.0016102660198471755,0.008512326056879571,0.9721830514205111,0.9499083826758196,0.9342846393109077
2024-01-31 00:00:00-05:00,24.3799991607666,25.0,24.260000228881836,24.299999237060547,13369300,0.0,0.0,0.0,-0.003703710099324987,-0.003281375162423885,-0.023311894825971735,0.9685823672345724,0.9467913769023288,0.9125046940617708
2024-02-01 00:00:00-05:00,24.209999084472656,24.719999313354492,24.190000534057617,24.540000915527344,12411400,0.0,0.0,0.0,-0.006112531388863758,0.013630807250477665,0.009876612592677025,0.962661877112151,0.9596969076672988,0.9215171494140182
2024-02-02 00:00:00-05:00,24.389999389648438,24.825000762939453,24.3799991607666,24.5,10329000,0.0,0.0,0.0,0.01020408163265306,0.004510070237978308,-0.001630029096781116,0.9724849574908463,0.9640252081280489,0.9200150496472905
2024-02-05 00:00:00-05:00,24.75,24.790000915527344,24.1299991607666,24.190000534057617,6807500,0.0,0.0,0.0,0.011574980285868897,-0.022626241048177082,-0.012653039426219759,0.9837414517021069,0.9422129413924246,0.9083740629513878
2024-02-06 00:00:00-05:00,24.469999313354492,24.770000457763672,24.450000762939453,24.600000381469727,7352900,0.0,0.0,0.0,0.0024390026427632983,0.005312671506463277,0.016949145860284842,0.986140799702604,0.9472186092391811,0.9237702274400504
2024-02-07 00:00:00-05:00,24.65999984741211,25.285999298095703,24.489999771118164,25.219999313354492,13952200,0.0,0.0,0.0,0.021213317286999937,0.02270881871076535,0.025203208222378315,1.0070601173763511,0.968728824915857,0.9470522008318558
2024-02-08 00:00:00-05:00,25.7549991607666,26.079999923706055,25.639999389648438,26.030000686645508,18568500,0.0,0.0,0.0,0.03150210039160365,0.010677597935931005,0.032117422495808956,1.038784626294321,0.9790725218172555,0.9774690764915582
2024-02-09 00:00:00-05:00,26.850000381469727,27.56999969482422,26.75,27.149999618530273,20742800,0.0,0.0,0.0,0.013996356296663742,0.011173155783922764,0.04302723405072251,1.053323826039433,0.9900118516272778,1.0195268672231041
2024-02-12 00:00:00-05:00,27.530000686645508,28.860000610351562,27.514999389648438,28.65999984741211,35138600,0.0,0.0,0.0,-0.02407538512670026,0.04104609998483405,0.055616952121473995,1.0279646492644043,1.0306479770753418,1.076229844184008
2024-02-13 00:00:00-05:00,27.969999313354492,28.280000686645508,27.6200008392334,28.219999313354492,20913600,0.0,0.0,0.0,0.04819279388529157,0.00893814823515693,-0.01535242625262423,1.0775051377277698,1.0398600614727058,1.0597071048702997
2024-02-14 00:00:00-05:00,29.579999923706055,29.825000762939453,29.239999771118164,29.549999237060547,28134500,0.0,0.0,0.0,0.015059276266063201,-0.0010142219987453282,0.047129693694806685,1.0937315852749148,1.0388054125227435,1.1096507761290473
2024-02-15 00:00:00-05:00,29.9950008392334,30.229999542236328,29.479999542236328,29.520000457763672,22844700,0.0,0.0,0.0,0.011449842094537553,-0.015835984936810772,-0.0010151871428561998,1.1062546392201207,1.0223549056577559,1.1085242729280607
